Age,Gender,Country,state,self_employed,family_history,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,treatment
22,Male,India,NA,No,No,Never,MoreThan1000,No,Yes,NA,Not sure,No,No,NA,Very difficult,Yes,Maybe,No,No,Maybe,Maybe,No,No,1
23,Female,United States,NC,No,No,NA,6to26,No,Yes,NA,No,No,NA,NA,NA,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No,0
34,Female,Canada,NA,No,Yes,Sometimes,MoreThan1000,No,No,Yes,Yes,Yes,No,NA,Somewhat easy,No,No,Some of them,Yes,No,No,No,No,1
31,Male,United States,MO,No,No,Never,26to100,No,Yes,NA,Not sure,No,NA,NA,NA,Maybe,No,No,Some of them,No,Maybe,NA,No,0
28,Male,United Kingdom,NA,No,No,NA,100to500,No,No,No,Not sure,No,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No,0
32,Female,United States,MA,No,No,Often,6to26,Yes,Yes,Yes,Not sure,NA,NA,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,Yes,1
45,Female,United States,CA,No,No,Sometimes,1to5,No,Yes,Yes,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,No,No,Yes,No,1
33,Male,United States,TX,No,No,NA,6to26,Yes,Yes,NA,No,No,No,NA,Very easy,No,No,Yes,Yes,No,Maybe,NA,No,0
29,Male,Mexico,NA,No,No,Never,6to26,Yes,Yes,No,No,No,No,No,NA,Maybe,Maybe,No,Yes,Maybe,Yes,No,No,0
26,Female,India,NA,Yes,No,Sometimes,6to26,No,No,No,No,No,No,NA,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,No,NA,No,0
28,Female,United Kingdom,NA,No,No,Never,26to100,No,Yes,NA,No,No,NA,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,NA,No,0
45,Male,United States,CA,No,No,Sometimes,MoreThan1000,No,Yes,NA,Not sure,NA,NA,NA,NA,Yes,Yes,Some of them,Some of them,No,No,NA,No,1
43,Male,United States,WA,No,Yes,Often,MoreThan1000,Yes,Yes,Yes,Not sure,No,NA,NA,Very difficult,Yes,Maybe,No,No,No,No,No,No,1
37,Male,United States,MA,No,No,NA,500to1000,Yes,Yes,Yes,No,No,No,NA,NA,Yes,No,Some of them,No,Maybe,Yes,No,No,0
24,Male,United Kingdom,NA,No,No,Sometimes,6to26,No,Yes,NA,No,No,NA,NA,Somewhat easy,Maybe,No,Some of them,Yes,Maybe,Yes,Yes,No,0
26,Male,France,NA,No,No,NA,6to26,Yes,Yes,No,Yes,No,No,NA,Somewhat easy,No,No,Some of them,No,No,Maybe,Yes,No,0
23,Male,United Kingdom,NA,No,Yes,NA,1to5,Yes,Yes,NA,No,No,No,NA,NA,No,No,Some of them,Yes,Maybe,Yes,NA,No,0
35,Female,United States,CA,No,Yes,Never,MoreThan1000,No,Yes,Yes,Not sure,NA,No,Yes,Somewhat easy,Maybe,No,No,No,No,No,NA,No,1
38,Female,South Africa,NA,Yes,Yes,Often,1to5,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,NA,Yes,1
28,Male,United States,MI,No,Yes,Sometimes,26to100,No,Yes,Yes,No,No,No,NA,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,No,No,1
28,Male,Russia,NA,No,No,Sometimes,26to100,No,Yes,No,No,No,No,NA,NA,Yes,Maybe,No,No,No,Maybe,NA,No,0
35,Male,United States,CA,No,No,Rarely,6to26,No,Yes,No,No,No,No,Yes,NA,No,No,Some of them,Yes,No,No,NA,No,1
32,Female,Germany,NA,No,No,Sometimes,100to500,No,Yes,No,No,No,No,NA,Very difficult,Yes,Yes,Some of them,No,No,No,No,Yes,0
31,Male,Italy,NA,Yes,Yes,Never,6to26,No,Yes,No,No,No,No,NA,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,NA,No,0
35,Female,United States,NY,No,No,Never,500to1000,Yes,Yes,NA,Not sure,No,No,NA,NA,Maybe,Maybe,Some of them,No,No,No,NA,No,0
26,Male,United States,CA,No,No,Rarely,MoreThan1000,No,Yes,Yes,No,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,No,No,0
27,Male,United States,TN,No,Yes,NA,6to26,Yes,Yes,Yes,Yes,No,No,NA,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Yes,No,0
28,Male,United Kingdom,NA,No,Yes,Sometimes,MoreThan1000,No,Yes,NA,No,No,No,NA,NA,Maybe,Maybe,Some of them,No,No,Maybe,NA,No,1
27,Female,United States,OR,No,Yes,Sometimes,26to100,No,Yes,Yes,No,No,No,NA,Very easy,No,No,Some of them,Some of them,No,No,Yes,No,1
34,Female,United States,MN,No,No,Sometimes,500to1000,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No,1
41,Male,United States,FL,No,No,Often,6to26,Yes,Yes,No,Not sure,No,No,NA,Very difficult,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,NA,No,1
37,Male,Ireland,NA,No,No,Sometimes,1to5,No,Yes,No,Yes,No,No,NA,Very difficult,Yes,No,No,No,No,Yes,NA,No,0
34,Male,Austria,NA,No,Yes,NA,100to500,Yes,Yes,NA,No,NA,NA,NA,Very easy,No,No,Yes,Yes,No,No,Yes,No,0
32,Male,United Kingdom,NA,No,Yes,Sometimes,100to500,Yes,Yes,NA,Not sure,No,No,NA,Somewhat difficult,Yes,Maybe,No,No,No,No,No,Yes,1
21,Male,Canada,NA,No,No,Sometimes,6to26,Yes,Yes,No,Yes,No,No,NA,Somewhat difficult,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No,1
30,Male,United States,MA,No,No,Often,26to100,No,Yes,No,Yes,No,No,Yes,Somewhat easy,Maybe,No,Yes,Yes,No,Maybe,NA,No,1
24,Male,United States,KS,No,No,Never,26to100,No,Yes,NA,Not sure,No,NA,NA,NA,No,No,Some of them,Yes,No,No,NA,No,0
26,Male,Bulgaria,NA,No,No,NA,100to500,No,Yes,No,No,No,No,No,Very easy,Yes,Maybe,No,No,No,Maybe,NA,No,0
40,Female,United States,DC,No,No,NA,26to100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,0
37,Male,United Kingdom,NA,No,Yes,Sometimes,26to100,No,No,No,No,No,No,NA,NA,Yes,Maybe,Some of them,Yes,No,Maybe,NA,No,0
26,Male,United Kingdom,NA,Yes,No,Often,1to5,Yes,Yes,No,No,No,No,NA,NA,Yes,No,No,No,No,Maybe,NA,No,1
32,Female,United States,TX,No,Yes,Sometimes,6to26,No,Yes,NA,No,No,No,No,NA,Yes,Maybe,Some of them,Some of them,No,Maybe,No,Yes,1
32,Female,United States,MA,No,No,Sometimes,100to500,No,No,Yes,Yes,NA,NA,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,No,1
27,Female,United States,MI,Yes,Yes,Sometimes,1to5,Yes,Yes,No,No,NA,NA,NA,Very difficult,No,No,Some of them,No,No,No,NA,No,1
30,Male,Germany,NA,Yes,No,Often,6to26,Yes,Yes,Yes,Yes,No,No,Yes,Very difficult,No,No,Some of them,Yes,Maybe,Yes,Yes,No,1
31,Male,Canada,NA,Yes,No,NA,6to26,No,Yes,Yes,Yes,No,NA,Yes,Very easy,No,No,Some of them,Some of them,No,No,Yes,No,0
29,Female,United States,NY,No,No,Never,500to1000,No,No,Yes,No,No,NA,NA,Somewhat difficult,Maybe,No,Some of them,No,No,No,NA,No,1
41,Male,United States,VA,No,No,NA,26to100,No,Yes,Yes,Not sure,No,No,NA,Very easy,Yes,No,No,Some of them,No,No,NA,No,0
34,Female,United States,WA,No,No,NA,6to26,No,Yes,Yes,No,No,No,NA,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,0
33,Male,United Kingdom,NA,No,No,NA,26to100,No,Yes,NA,No,No,No,NA,NA,No,No,Yes,Yes,Yes,Yes,NA,No,0
28,Male,United States,PA,No,No,Rarely,6to26,No,Yes,NA,No,No,No,NA,NA,No,No,Some of them,Some of them,No,Maybe,NA,No,0
28,Male,United States,MI,No,No,Sometimes,MoreThan1000,No,Yes,No,Yes,No,No,Yes,Very difficult,Yes,No,No,Some of them,No,No,No,No,1
23,Male,United States,PA,No,No,Never,26to100,No,Yes,NA,Not sure,NA,NA,NA,NA,No,No,No,Yes,No,Yes,Yes,No,0
24,Male,United States,OR,No,No,NA,1to5,No,Yes,NA,No,NA,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,0
32,Male,United States,WA,No,No,Rarely,1to5,Yes,Yes,No,Yes,No,No,NA,Very difficult,No,No,Some of them,Yes,No,Maybe,Yes,No,0
34,Male,Australia,NA,Yes,No,Sometimes,1to5,Yes,Yes,NA,Not sure,Yes,Yes,NA,Somewhat difficult,Yes,Yes,No,No,No,Maybe,Yes,No,0
24,Male,United States,PA,No,No,Never,6to26,No,Yes,Yes,Not sure,No,NA,NA,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,Yes,No,0
26,Male,United Kingdom,NA,Yes,No,Sometimes,1to5,No,Yes,No,Yes,No,No,NA,NA,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No,1
36,Male,United States,OH,No,No,Sometimes,26to100,No,Yes,Yes,No,No,Yes,NA,NA,Maybe,No,Some of them,Some of them,No,Maybe,NA,Yes,1
41,Male,United States,TX,No,No,Rarely,500to1000,Yes,Yes,Yes,Yes,No,NA,NA,NA,Maybe,Maybe,Some of them,No,Maybe,Maybe,No,No,1
38,Male,United Kingdom,NA,No,No,Sometimes,MoreThan1000,No,No,NA,Not sure,NA,NA,NA,Very difficult,Yes,No,No,No,No,Maybe,No,No,1
38,Male,United States,NH,No,No,Sometimes,26to100,Yes,Yes,NA,Not sure,No,NA,NA,NA,Maybe,Maybe,Some of them,Yes,No,Maybe,No,No,0
30,Male,Netherlands,NA,No,No,NA,26to100,No,Yes,NA,No,NA,NA,Yes,Somewhat easy,No,No,Some of them,Some of them,No,No,Yes,No,0
25,Male,United Kingdom,NA,No,No,Never,26to100,No,Yes,No,No,No,No,NA,Somewhat difficult,Yes,Maybe,No,No,No,Maybe,No,No,0
37,Male,Canada,NA,No,Yes,Often,26to100,No,Yes,Yes,Yes,No,NA,NA,NA,Maybe,No,Some of them,Some of them,No,Yes,NA,No,1
34,Male,United Kingdom,NA,No,Yes,NA,6to26,No,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Some of them,Yes,No,Yes,No,Yes,0
37,Female,United States,NC,No,Yes,Sometimes,MoreThan1000,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,1
28,Female,Canada,NA,No,Yes,Sometimes,6to26,No,No,Yes,Yes,Yes,Yes,Yes,NA,No,No,Some of them,Yes,No,No,No,Yes,1
22,Male,Sweden,NA,No,No,NA,6to26,No,Yes,NA,No,No,No,NA,NA,No,No,Some of them,Yes,Maybe,Maybe,No,No,0
34,Male,United States,FL,No,Yes,Sometimes,1to5,No,Yes,No,No,No,No,NA,Somewhat difficult,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes,1
33,Male,United States,CA,No,Yes,Sometimes,26to100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,NA,No,1
25,Male,South Africa,NA,No,No,NA,6to26,No,Yes,No,No,No,No,Yes,Somewhat difficult,Maybe,No,Some of them,Yes,No,Yes,No,No,0
27,Male,United States,GA,No,No,Never,MoreThan1000,Yes,Yes,Yes,Yes,NA,NA,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,0
40,Male,United States,OH,No,No,Sometimes,MoreThan1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Maybe,No,No,No,Maybe,No,Yes,1
21,Male,United States,KY,No,No,Often,6to26,No,No,NA,No,No,NA,NA,NA,Maybe,No,No,No,No,Maybe,NA,No,1
29,Male,United Kingdom,NA,No,No,NA,6to26,No,No,No,No,No,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Yes,Yes,No,0
32,Male,United States,NC,No,Yes,Sometimes,1to5,Yes,Yes,No,No,No,No,NA,NA,Maybe,No,Yes,Yes,No,Yes,NA,No,1
29,Female,United States,NY,No,Yes,Rarely,500to1000,Yes,No,Yes,Yes,Yes,NA,Yes,NA,Maybe,No,Some of them,No,Maybe,Yes,NA,No,1
23,Male,United States,AL,No,Yes,Sometimes,26to100,Yes,No,NA,No,No,NA,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,No,Yes,Yes,No,1
28,Male,United States,GA,No,Yes,NA,100to500,No,Yes,Yes,No,No,NA,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,Yes,0
31,Male,United States,CA,No,Yes,Rarely,100to500,Yes,Yes,Yes,Yes,Yes,NA,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,1
27,Male,United Kingdom,NA,No,No,NA,100to500,No,No,NA,Not sure,NA,NA,No,Very easy,Maybe,Maybe,Yes,Yes,No,No,NA,No,0
24,Male,United States,VA,No,No,Sometimes,6to26,No,Yes,NA,No,NA,NA,NA,NA,No,No,Yes,Yes,Maybe,Maybe,NA,No,0
29,Male,Canada,NA,No,No,Often,6to26,No,Yes,No,No,No,No,NA,Somewhat difficult,Yes,No,No,No,No,Maybe,NA,No,0
23,Female,United Kingdom,NA,No,No,Sometimes,6to26,No,Yes,NA,Not sure,NA,NA,NA,NA,Maybe,Maybe,Some of them,Some of them,No,Maybe,Yes,No,1
42,Male,United States,WA,No,No,Never,6to26,Yes,Yes,No,Yes,No,Yes,NA,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,0
24,Male,United Kingdom,NA,No,No,NA,1to5,No,Yes,No,No,No,No,NA,NA,Yes,No,Some of them,Some of them,No,Yes,No,No,0
25,Male,Australia,NA,No,Yes,Often,6to26,No,Yes,No,Yes,No,No,No,Very difficult,Yes,Maybe,No,No,No,Yes,No,Yes,1
27,Female,United States,TX,No,No,Rarely,6to26,No,Yes,Yes,No,No,No,Yes,NA,Maybe,Maybe,Yes,No,No,Maybe,NA,No,1
27,Male,Canada,NA,No,No,Sometimes,6to26,Yes,Yes,No,Yes,No,No,No,Very difficult,Yes,Yes,Some of them,Some of them,No,Maybe,No,No,0
30,Male,United States,FL,No,No,Sometimes,100to500,Yes,Yes,Yes,Yes,No,Yes,Yes,NA,No,No,Yes,Yes,Maybe,No,Yes,No,1
29,Male,Poland,NA,No,Yes,Rarely,6to26,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,Some of them,Some of them,No,Yes,No,No,1
43,Male,Canada,NA,Yes,No,NA,6to26,Yes,Yes,No,Not sure,No,No,NA,Somewhat easy,Maybe,No,Yes,Yes,Yes,Yes,NA,No,0
32,Male,United States,NV,No,No,NA,6to26,No,Yes,No,Yes,No,NA,NA,Very easy,No,No,Some of them,Yes,No,Maybe,NA,No,0
41,Male,United States,AL,No,No,Sometimes,26to100,Yes,Yes,Yes,Yes,NA,No,NA,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,1
32,Male,United Kingdom,NA,Yes,Yes,Sometimes,1to5,Yes,Yes,NA,Not sure,NA,NA,NA,Very easy,Maybe,Maybe,Yes,Some of them,Maybe,Maybe,NA,Yes,1
37,Female,United States,CA,No,Yes,Often,26to100,No,Yes,Yes,Yes,No,No,Yes,NA,Maybe,No,Some of them,Some of them,No,Yes,NA,No,1
32,Male,United States,CO,No,No,Never,6to26,Yes,Yes,No,No,No,No,NA,Very easy,No,No,Yes,Yes,No,No,NA,No,0
30,Male,Ireland,NA,Yes,No,Sometimes,1to5,Yes,Yes,No,No,No,No,NA,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,No,No,0
23,Female,United States,MN,No,Yes,Never,100to500,No,No,Yes,No,NA,NA,Yes,NA,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,1
30,Male,United States,NJ,No,No,NA,MoreThan1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,No,Yes,No,0
34,Male,United Kingdom,NA,No,No,Sometimes,26to100,No,Yes,No,Yes,No,No,NA,Somewhat easy,Maybe,Maybe,Yes,Some of them,No,No,NA,No,0
38,Male,United States,PA,No,No,Rarely,26to100,Yes,Yes,Yes,No,No,No,NA,NA,Yes,No,No,No,No,Maybe,No,No,1
33,Male,Canada,NA,No,No,NA,100to500,No,Yes,Yes,No,Yes,Yes,Yes,NA,No,No,Some of them,Yes,No,No,NA,No,0
34,Male,United States,MO,No,No,NA,26to100,No,No,Yes,No,No,No,NA,NA,Maybe,No,Some of them,No,No,No,NA,No,0
28,Male,Colombia,NA,No,No,Sometimes,6to26,No,Yes,No,Yes,No,No,NA,Somewhat easy,Maybe,Maybe,No,Some of them,No,No,NA,No,0
28,Male,United States,MN,No,No,Rarely,100to500,No,No,Yes,Yes,Yes,NA,NA,Very easy,Maybe,No,Some of them,Some of them,No,No,Yes,No,1
23,Male,United States,PA,No,Yes,Sometimes,100to500,No,Yes,NA,No,No,NA,NA,NA,Maybe,No,Some of them,No,No,Maybe,No,No,0
22,Male,Australia,NA,Yes,Yes,Sometimes,6to26,Yes,Yes,NA,Not sure,Yes,Yes,NA,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,No,Yes,1
27,Male,Portugal,NA,No,No,Never,6to26,No,Yes,No,No,No,No,Yes,NA,Yes,No,No,No,No,Maybe,NA,No,0
18,Male,United States,TX,No,No,Sometimes,6to26,No,Yes,NA,No,No,NA,NA,NA,Yes,No,No,No,No,Maybe,NA,No,1
35,Male,United States,NY,No,Yes,Sometimes,26to100,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,No,No,Some of them,No,Maybe,NA,No,1
25,Male,Canada,NA,No,No,NA,100to500,No,No,NA,Not sure,No,No,NA,NA,No,No,Some of them,Some of them,No,Yes,No,No,0
27,Male,United Kingdom,NA,No,Yes,Sometimes,6to26,No,Yes,No,No,No,No,Yes,Somewhat easy,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,No,1
26,Female,United States,WA,No,Yes,Rarely,MoreThan1000,No,Yes,Yes,Not sure,NA,NA,NA,NA,Maybe,No,Some of them,Some of them,No,No,NA,No,1
18,Male,United States,WA,No,No,Never,26to100,No,Yes,NA,Not sure,NA,NA,NA,Very easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,0
38,Female,United States,TX,No,No,Sometimes,1to5,No,Yes,No,Yes,No,No,NA,NA,No,Maybe,Some of them,No,No,No,NA,Yes,1
26,Female,United States,TX,No,Yes,Rarely,MoreThan1000,Yes,Yes,Yes,Yes,Yes,NA,NA,Somewhat easy,Maybe,No,Some of them,No,No,No,NA,No,1
30,Male,Switzerland,NA,Yes,No,Never,1to5,No,Yes,No,No,No,No,No,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,0
35,Male,United States,CA,No,No,Never,MoreThan1000,No,Yes,NA,No,No,NA,NA,NA,Yes,Maybe,Some of them,Some of them,No,No,NA,No,0
45,Male,United States,NY,No,Yes,Sometimes,MoreThan1000,No,Yes,Yes,Yes,NA,NA,Yes,NA,Maybe,No,Some of them,Some of them,No,Maybe,NA,No,1
32,Male,United States,CA,No,No,Never,MoreThan1000,No,Yes,Yes,No,No,NA,NA,NA,Maybe,No,Some of them,Some of them,No,No,NA,No,0
56,Male,United States,NA,No,No,Never,MoreThan1000,No,Yes,Yes,Not sure,NA,NA,NA,NA,No,Maybe,Yes,Some of them,No,Maybe,NA,No,1
24,Female,United States,CA,No,No,NA,500to1000,No,Yes,NA,Not sure,No,NA,NA,NA,Maybe,Maybe,Some of them,No,No,Maybe,No,No,0
30,Female,United States,SC,No,Yes,Sometimes,26to100,No,Yes,Yes,Yes,Yes,NA,NA,Very easy,No,No,Yes,Yes,No,Yes,Yes,No,1
60,Male,United States,CA,No,No,NA,MoreThan1000,No,Yes,Yes,No,NA,Yes,NA,NA,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,0
33,Male,United States,CA,No,Yes,Sometimes,MoreThan1000,No,Yes,Yes,No,Yes,Yes,NA,NA,Yes,No,No,No,No,Maybe,NA,No,1
37,Male,United States,NY,No,No,Never,MoreThan1000,No,Yes,Yes,Yes,Yes,Yes,NA,NA,No,No,Some of them,Yes,Maybe,Maybe,NA,No,0
23,Female,United States,NY,No,No,Sometimes,MoreThan1000,No,Yes,Yes,Yes,Yes,Yes,NA,NA,No,No,Some of them,Some of them,No,No,Yes,No,1
31,Female,United States,CA,No,No,Sometimes,MoreThan1000,No,Yes,Yes,Not sure,NA,NA,Yes,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,1
26,Male,United States,MA,No,No,Rarely,100to500,No,Yes,Yes,Not sure,No,NA,NA,NA,No,No,Some of them,Yes,No,Maybe,NA,No,0
28,Female,United States,WA,No,Yes,Often,100to500,Yes,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,No,Some of them,Yes,No,No,Yes,No,1
37,Female,United States,CA,No,No,Rarely,MoreThan1000,No,Yes,Yes,Yes,NA,Yes,NA,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,1
26,Male,Canada,NA,No,Yes,Often,6to26,No,Yes,Yes,No,No,NA,NA,NA,Maybe,No,Some of them,Some of them,Maybe,Maybe,Yes,No,1
30,None,United States,IL,No,Yes,Rarely,26to100,No,Yes,Yes,Not sure,No,No,NA,Somewhat easy,Maybe,No,Some of them,Yes,No,No,NA,No,1
26,Male,United States,IN,No,No,NA,26to100,No,Yes,No,No,No,No,NA,NA,No,No,Some of them,Some of them,No,No,NA,Yes,0
25,Male,United States,OR,No,No,NA,26to100,Yes,Yes,NA,Not sure,No,NA,NA,NA,No,No,Some of them,Yes,No,No,NA,No,0
27,Male,United States,TN,No,No,Sometimes,100to500,No,Yes,Yes,Not sure,Yes,Yes,NA,NA,Maybe,No,Some of them,Yes,No,Maybe,NA,No,0
25,Male,Canada,NA,No,No,Often,6to26,Yes,No,NA,No,No,NA,NA,Somewhat difficult,Yes,Maybe,No,No,No,Maybe,NA,No,1
35,Male,United States,OR,No,No,Rarely,100to500,No,Yes,Yes,Not sure,NA,Yes,NA,NA,No,No,Some of them,Yes,No,No,NA,No,1
36,Male,United States,WA,Yes,No,Never,1to5,No,Yes,No,Yes,No,No,NA,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No,1
26,Male,United States,CA,No,Yes,Sometimes,MoreThan1000,No,Yes,Yes,Not sure,No,NA,NA,NA,Yes,No,No,No,No,No,No,No,1
27,Male,United States,CA,No,Yes,NA,MoreThan1000,No,Yes,NA,No,NA,NA,NA,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,0
30,Male,United States,VT,No,No,NA,6to26,No,No,NA,Not sure,No,NA,NA,NA,Maybe,Maybe,Some of them,Some of them,No,No,NA,No,0
29,Male,United States,NY,No,No,NA,100to500,No,No,NA,Not sure,No,NA,NA,NA,Maybe,No,No,No,No,Maybe,NA,No,0
25,Male,United States,UT,No,No,Never,MoreThan1000,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,0
22,Female,United States,NY,No,Yes,Often,MoreThan1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,Some of them,No,No,Yes,Yes,1
29,Male,Latvia,NY,No,No,NA,26to100,No,Yes,No,Yes,No,No,NA,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,No,NA,No,0
41,Male,United States,SD,No,Yes,Rarely,100to500,Yes,Yes,Yes,Yes,NA,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,1
29,Male,United States,CA,No,No,Sometimes,MoreThan1000,No,Yes,Yes,No,No,NA,NA,NA,Yes,No,Some of them,Some of them,No,Maybe,No,No,1
32,Male,United States,OR,No,No,Never,500to1000,No,Yes,Yes,Not sure,NA,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,0
24,Female,United States,CA,No,Yes,Sometimes,MoreThan1000,No,Yes,Yes,Yes,No,Yes,Yes,NA,Maybe,No,Some of them,No,No,Maybe,NA,No,1
25,Male,United States,CA,No,No,Rarely,6to26,No,Yes,Yes,No,NA,No,NA,NA,Maybe,No,No,No,No,No,NA,No,1
25,Male,United States,CA,No,No,NA,MoreThan1000,No,Yes,NA,Not sure,NA,NA,NA,NA,Maybe,No,No,No,No,Maybe,NA,No,0
30,Female,United States,CO,No,No,Never,MoreThan1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,No,Some of them,No,No,NA,No,0
25,Male,United States,CA,No,Yes,Sometimes,MoreThan1000,No,Yes,NA,Not sure,NA,Yes,NA,NA,No,No,Yes,Yes,No,No,Yes,No,1
30,Male,United States,OH,Yes,No,Never,1to5,Yes,Yes,No,Yes,No,No,NA,NA,Maybe,No,Some of them,Some of them,No,Maybe,NA,No,0
33,Male,Germany,NA,Yes,Yes,Rarely,1to5,No,No,No,No,No,No,NA,Somewhat difficult,Yes,Yes,No,No,Maybe,No,Yes,Yes,1
24,Male,United States,WA,No,No,NA,26to100,No,Yes,Yes,Not sure,Yes,Yes,Yes,Very easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,0
25,Male,Canada,NA,No,Yes,Sometimes,MoreThan1000,No,Yes,Yes,Yes,No,NA,NA,NA,Yes,Maybe,Some of them,No,No,No,No,No,1
31,Male,United States,OH,No,No,NA,100to500,No,No,NA,No,No,No,Yes,Somewhat easy,Maybe,No,No,No,No,Yes,No,No,0
45,Male,Ireland,NA,Yes,No,Often,1to5,No,Yes,No,No,No,No,NA,Very difficult,No,No,No,No,No,No,NA,No,1
29,Male,Romania,NA,No,No,NA,6to26,Yes,No,No,Yes,No,No,NA,NA,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,No,No,0
46,Male,United States,WA,No,No,Never,26to100,No,Yes,Yes,Not sure,Yes,NA,NA,Very easy,No,No,Some of them,Some of them,Maybe,Maybe,NA,No,0
30,Male,United Kingdom,NA,No,No,Sometimes,26to100,No,Yes,NA,No,No,NA,NA,NA,Yes,Maybe,No,No,No,Maybe,NA,No,1
29,Female,United States,CA,Yes,No,Sometimes,MoreThan1000,No,Yes,Yes,Not sure,NA,No,NA,Very easy,Maybe,Maybe,Some of them,Some of them,No,No,NA,No,0
24,Male,United States,MA,No,No,NA,MoreThan1000,No,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,No,No,No,No,Maybe,NA,No,0
29,Male,United States,WA,No,No,NA,26to100,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,0
35,Male,United States,MI,No,No,NA,26to100,No,No,NA,Not sure,No,NA,NA,NA,No,No,Yes,Yes,No,No,No,No,0
33,Female,United States,WA,No,Yes,Sometimes,26to100,Yes,Yes,No,Yes,No,No,NA,Very difficult,Yes,Maybe,Some of them,Some of them,No,Maybe,No,No,0
27,Male,United States,CA,No,No,Sometimes,MoreThan1000,No,Yes,NA,Not sure,NA,NA,NA,Very easy,Yes,No,No,No,No,Maybe,No,No,0
36,Male,United States,IA,No,No,NA,MoreThan1000,No,Yes,NA,Not sure,NA,NA,NA,NA,Maybe,No,Some of them,Some of them,No,No,NA,No,0
